norm,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
acton town,0.011077702168064568,0.002004536582792636,0.0,0.0,0.0,0.009864430025847972,0.03655641715461307,0.09426597035395896,0.11895342089993143,0.06129661866329061,0.03560689982592182,0.0332331065041937,0.035132141161576196,0.037611436408714456,0.03993247876773751,0.05781505512475603,0.0723215698686501,0.08983488948673313,0.08756659809041516,0.05718204357229519,0.03623991137838266,0.03001529777918447,0.03001529777918447,0.023474178403755867
aldgate,0.0030923850019327404,0.0,0.0,0.0,0.0,0.002512562814070352,0.017845638448653525,0.06838680582399176,0.15062491946914058,0.10955418116222136,0.04032985440020616,0.02992526736245329,0.03311428939569643,0.03385517330240948,0.033951810333719884,0.04252029377657519,0.07379847957737405,0.14270068290168791,0.10440020615900013,0.04438860971524288,0.02409483314005927,0.019295193918309497,0.015139801571962376,0.010469011725293133
aldgate east,0.008040359451363707,0.0002927861985090426,0.0,0.0,0.0,0.0030179500461701312,0.014706875971261909,0.04835476678453188,0.10632643408932231,0.09279070291209657,0.04704848989887615,0.039278394630751556,0.04150807414247427,0.04389540776108646,0.04416567194432558,0.05148532690705164,0.07128217832931691,0.11294790657868066,0.10132654669939867,0.055426679579288755,0.03758924348550708,0.03213891579018491,0.0270038963086417,0.02137339249116011
alperton,0.007398013105051786,0.000528429507503699,0.0,0.0,0.0,0.016275628831113928,0.0554850982878884,0.09892200380469246,0.10505178609173536,0.054956668780384695,0.03529909110124709,0.03170577045022194,0.033713802578736,0.03772986683576411,0.03920946945677447,0.0523145212428662,0.07398013105051786,0.10801099133375608,0.09701965757767914,0.057176072711900235,0.03244557176072712,0.023990699640667936,0.02145423800465018,0.017332487846121326
amersham,0.0,0.0,0.0,0.0,0.0,0.026513122656668452,0.12319228709159079,0.275307980717729,0.16202463845741832,0.06909480449919657,0.04151044456347081,0.03240492769148366,0.029994643813604713,0.027048741296197106,0.028387787895018748,0.043117300482056774,0.018746652383502947,0.01339046598821639,0.031065881092662024,0.046063202999464384,0.02196036422067488,0.008837707552222818,0.001339046598821639,0.0
angel,0.008720260620619303,0.00018098654118266477,0.0,0.0,0.0,0.0012339991444272598,0.012965217677449077,0.04639836783046497,0.098654118266478,0.08925927144690513,0.04758300700911514,0.04021191878640298,0.04355194313731942,0.04348612984961664,0.04259765046562901,0.05005100529796966,0.0709138174997532,0.10113856987725822,0.10110566323340682,0.06156833064595742,0.04226858402711507,0.035062029023659874,0.035950508407647505,0.027098621211622625
archway,0.010882462623317626,0.0019663016577957083,0.0,0.0,0.0,0.0035935857883852597,0.02278197782825372,0.0755670068142523,0.12604671661524902,0.07943180662440248,0.04542834864562498,0.03756314201444215,0.03807166830525138,0.03912262263959047,0.038647998101501845,0.04814048886327423,0.06827812997931994,0.08817845882632132,0.09017866223683764,0.06132827067159372,0.03983455944672339,0.031087907244804557,0.029697935383259315,0.024171949689798963
arnos grove,0.011823492152860863,0.0021817158139207544,0.0,0.0,0.0,0.011541980434935603,0.04419733971426561,0.09233584347948483,0.11830529945808994,0.0638327820395524,0.038004081919909914,0.033922162009993664,0.0345555633753255,0.03561123231754522,0.03863748328524175,0.048701527201069746,0.06531071855866001,0.09142093039622774,0.09142093039622774,0.05996199591808009,0.03722992469561545,0.029347596593708215,0.0297698641705961,0.02188753606868886
arsenal,0.011019603294281406,0.00197192901055562,0.0,0.0,0.0,0.00394385802111124,0.0197192901055562,0.07818118547732282,0.15299849205428603,0.08212504349843405,0.040134555156014384,0.035262730541700496,0.0367706762556548,0.03723465955225612,0.03514673471755017,0.04222247999072033,0.05556199976800835,0.0788771604222248,0.08885280129915323,0.06379770328268182,0.04117851757336736,0.035262730541700496,0.03317480570699455,0.026563043730425704
baker street,0.005730814230619231,0.00047666507778307407,0.0,0.0,0.0,0.003141656194479352,0.016369112102959656,0.05864063786454045,0.11433461888460372,0.0835030549898167,0.051078996403345324,0.04525068249772501,0.049887333708887635,0.05048316505611648,0.05035316548944837,0.05763314122286259,0.07269142436191879,0.10663214455951814,0.09251635827880574,0.049172336092213026,0.0317415608614638,0.02452658491138363,0.020301598994670017,0.015534948216839277
balham,0.011328618617952868,0.002061764249451305,0.0,0.0,0.0,0.003724477353847518,0.03139202341100051,0.0987873279091937,0.13556654177843794,0.06779435564324827,0.0317910745560556,0.02749018999268406,0.028000088678032234,0.029263750637373357,0.02977364932272153,0.03835324894140599,0.05668743210588157,0.09160440729820206,0.10710089343117477,0.07247212184361629,0.04309752366594985,0.03416321191832753,0.03243399028975547,0.027113308355687586
bank monument,0.004739134147382803,0.0008147610508638602,0.0,0.0,0.0,0.003063359234907352,0.024193777929581873,0.08067201776107932,0.1371324680499815,0.08785187715253466,0.03746477670566135,0.03240898870008254,0.0355933168246378,0.03496000910824581,0.03655751003330202,0.04222881621267754,0.06390359491076765,0.12052415108302736,0.10763740642700595,0.05618293342441579,0.03299248569720775,0.02519710813195571,0.020913386275012096,0.014968121139669256
barbican,0.002908753147075359,0.0,0.0,0.0,0.0,0.002199897338124221,0.016254796998362298,0.05555962943951504,0.12050548752169343,0.10275964899415806,0.04807997848989269,0.03891373958104177,0.0417980494243602,0.04184693603187407,0.042555791840825204,0.051306494585808216,0.0754075920901469,0.11837892009484002,0.0952799980445357,0.048788834298843835,0.02906308816699665,0.027963139497934542,0.02703429395517098,0.013394930458800811
barking,0.005168831607574196,0.0006587726558672996,0.0,0.0,0.0,0.019661830036654785,0.06684008716068986,0.08140065201601324,0.09433962264150944,0.05670512322426986,0.03547237377746997,0.03048934984206348,0.032060269252208576,0.03739801692538977,0.04035404807351227,0.05383355010895086,0.07499873312950794,0.10508268441411463,0.09368084998564213,0.06001587811016706,0.04113106197530447,0.033192006891775476,0.022381378692927483,0.01513487947838719
barkingside,0.006701414743112435,0.0014892032762472078,0.0,0.0,0.0,0.02289650037230082,0.0763216679076694,0.10871183916604617,0.14277736411020103,0.049329858525688754,0.02661950856291884,0.02140729709605361,0.023641102010424422,0.02513030528667163,0.030156366344005956,0.049329858525688754,0.06626954579300075,0.10256887565152643,0.10052122114668652,0.06161578555472822,0.029970215934475054,0.021965748324646314,0.018615040953090096,0.013961280714817573
