norm,lat,lon
abbey road,51.5320825,0.003746333333333333
abbey wood,51.49124825,0.12115075
acton central,51.508712200000005,-0.2629708
acton main line,51.5169635,-0.26822
acton town,51.502958,-0.280139875
aldgate,51.51414428571429,-0.07551414285714286
aldgate east,51.515306499999994,-0.07138710000000001
all saints,51.51100566666667,-0.013021
alperton,51.540657599999996,-0.299579
amersham,51.6740845,-0.6075428333333334
anerley,51.4122894,-0.065705
angel,51.532254333333334,-0.10599750000000001
archway,51.56522714285715,-0.1348432857142857
arnos grove,51.616287166666666,-0.13311766666666666
arsenal,51.558618,-0.10728560000000001
baker street,51.5227465,-0.157138
balham,51.44346671428571,-0.15266042857142859
balham balham road,51.44337,-0.153065
bank,51.51299242857143,-0.08862842857142858
barbican,51.52029639999999,-0.09790259999999999
barking,51.5394835,0.0809324
barking riverside,51.519939799999996,0.1164766
barkingside,51.5857486,0.08857040000000001
barons court,51.490376285714284,-0.21380014285714286
battersea power,51.479932,-0.142142
bayswater,51.51233,-0.18798520000000002
beckton,51.5144575,0.061222
beckton park,51.508874000000006,0.0549122
becontree,51.540360799999995,0.12713000000000002
belsize park,51.5503604,-0.164663
bermondsey,51.49790360000001,-0.0638194
bethnal green,51.52614441666666,-0.0567315
blackfriars,51.511199399999995,-0.10361279999999999
blackhorse rd stn blackhorse lane,51.586985,-0.041145
blackhorse road,51.586795099999996,-0.0412538
blackwall,51.508014333333335,-0.006774166666666667
bond street,51.51411477777778,-0.14922166666666667
borough,51.500972499999996,-0.09323749999999999
boston manor,51.495673,-0.32474539999999996
bounds green,51.60701616666666,-0.12440283333333334
bow church,51.5277794,-0.0208996
bow road,51.52697466666667,-0.02504316666666667
brent cross,51.576751333333334,-0.21350116666666666
brentwood,51.61361866666667,0.299962
brixton,51.46266479999999,-0.11465080000000001
brockley,51.464298,-0.0378056
bromley by bow,51.524735666666665,-0.011591166666666666
brondesbury,51.54513925,-0.20233125
brondesbury park,51.5408035,-0.21003624999999998
bruce grove,51.593851799999996,-0.0699976
buckhurst hill,51.626596,0.0467385
burnham,51.523506,-0.646374
burnt oak,51.602775199999996,-0.2640532
bush hill park,51.6416426,-0.0693838
bushey,51.645730666666665,-0.3850297777777778
caledonian road,51.54861459999999,-0.11837740000000001
caledonian road and barnsbury,51.54321866666667,-0.11598233333333334
cambridge heath,51.53213675,-0.05735425
camden road,51.5417915,-0.13888024999999998
camden town,51.539279625,-0.142692875
canada water,51.49802453846154,-0.04968046153846154
canary wharf,51.50447680952381,-0.01942838095238095
canning town,51.51414591666667,0.007880666666666666
canning town bus,51.51430333333334,0.008321666666666666
cannon street,51.51143485714285,-0.09044828571428572
canonbury,51.548676666666665,-0.09254716666666667
canons park,51.60776683333333,-0.29471783333333335
carpenders park,51.62807725,-0.38567799999999997
chadwell heath,51.5680665,0.129176
chalfont and latimer,51.668006857142856,-0.5606308571428571
chalk farm,51.544123,-0.1534686
chancery lane,51.51823057142857,-0.111629
charing cross,51.50813135714286,-0.12627607142857142
charing cross stn trafalgar square,51.50839166666666,-0.12591833333333333
chesham,51.70522125,-0.6111805
cheshunt,51.702681,-0.02401175
chigwell,51.617751,0.07521749999999999
chingford,51.633283000000006,0.010035
chiswick park,51.49451357142857,-0.2678648571428571
chorleywood,51.65414728571428,-0.5183695714285714
clapham common,51.46185071428572,-0.13796585714285714
clapham high street,51.46540775,-0.132251
clapham junction,51.464227,-0.169888875
clapham north,51.465281600000004,-0.1297504
clapham south,51.4528916,-0.147474
clapton,51.56163825,-0.0569395
cockfosters,51.651532714285715,-0.14948114285714284
colindale,51.5954384,-0.24996999999999997
colliers wood,51.41827133333334,-0.17795033333333332
covent garden,51.513061666666665,-0.12430466666666667
crossharbour,51.49567149999999,-0.014463833333333334
crouch hill,51.57143925,-0.11684
croxley,51.647144000000004,-0.44142840000000005
crystal palace,51.417950250000004,-0.072575
custom house,51.51131090909091,0.02690518181818182
cutty sark,51.481657999999996,-0.010769
cutty sark for maritime greenwich,51.481777,-0.01069
cyprus,51.50838816666666,0.0638715
dagenham east,51.5441414,0.1657884
dagenham heathway,51.541638,0.147187
dalston junction,51.54594875,-0.0752085
dalston kingsland,51.5482255,-0.07602975000000001
debden,51.6452685,0.08395375
denmark hill,51.468214,-0.08944275
deptford bridge,51.47429266666666,-0.022498
devons road,51.522567,-0.0174772
dollis hill,51.551989166666665,-0.23889833333333332
ealing broadway,51.51500709090909,-0.3015967272727273
ealing common,51.51011100000001,-0.2882196
earl s court,51.491646,-0.19393757142857143
earls court,51.4922,-0.19319
east acton,51.51681620000001,-0.24755080000000002
east finchley,51.58709016666666,-0.16483283333333335
east ham,51.539140333333336,0.05157866666666667
east india,51.509555,-0.0020794285714285715
east putney,51.45899419999999,-0.21105100000000002
eastcote,51.57653,-0.3970668333333333
edgware,51.61356825,-0.27517
edgware bus,51.61366,-0.27582
edgware road,51.520050499999996,-0.16848816666666666
edgware road bakerloo line,51.52021,-0.17027
edmonton green,51.62471525,-0.06118725
elephant and castle,51.495059777777776,-0.10053133333333333
elm park,51.5497346,0.1983314
elverson road,51.4688825,-0.016609666666666665
embankment,51.507026399999994,-0.1225152
emerson park,51.56879933333334,0.22010166666666667
enfield town,51.65220325,-0.079591
epping,51.69357675,0.11375874999999999
euston,51.527959214285715,-0.1332717142857143
euston square,51.52559883333333,-0.135609
fairlop,51.595756400000006,0.09102980000000001
farringdon,51.520341461538465,-0.10507315384615384
finchley central,51.600911833333335,-0.19263066666666664
finchley road,51.54703285714286,-0.18006799999999998
finchley road and frognal,51.55008275,-0.183603
finsbury park,51.56443545454545,-0.10642836363636364
forest gate,51.549336333333336,0.024166000000000003
