station,weekday,weekend,norm
Abbey Road DLR,1755.7824427480916,1020.3265306122449,abbey road
Abbey Wood,31976.18076923077,20441.923076923078,abbey wood
Acton Central,4592.023076923077,2895.607843137255,acton central
Acton Main Line,7926.104247104247,5585.290697674419,acton main line
Acton Town,15025.973180076628,11504.941176470587,acton town
Aldgate,23773.563218390806,12335.47572815534,aldgate
Aldgate East,34715.819923371644,27528.5,aldgate east
All Saints,2590.835877862595,1822.8846153846155,all saints
Alperton,7935.716475095785,4970.762886597938,alperton
Amersham,5910.812260536399,3529.5576923076924,amersham
Anerley,2459.7088122605364,1709.32,anerley
Angel,34564.2183908046,28764.83653846154,angel
Archway,21959.931034482757,16006.086538461539,archway
Arnos Grove,10022.6171875,7599.020833333333,arnos grove
Arsenal,7639.673076923077,9674.623762376237,arsenal
Baker Street,67693.80152671755,50191.528846153844,baker street
Balham,30569.666666666668,23816.259615384617,balham
Bank,103389.27586206897,28247.66346153846,bank
Barbican,17119.65134099617,7617.735294117647,barbican
Barking,48355.16030534351,35003.394230769234,barking
Barking Riverside,2947.4115384615384,1497.2307692307693,barking riverside
Barkingside,3788.4904214559388,2177.903846153846,barkingside
Barons Court,16811.7816091954,10179.213592233009,barons court
Battersea Power Station,23735.06106870229,26721.91346153846,battersea power
Bayswater,11090.475095785441,9865.921568627451,bayswater
Beckton,4241.137931034483,2239.531914893617,beckton
Beckton Park,1015.9770114942529,463.126213592233,beckton park
Becontree,9512.524904214559,5767.913461538462,becontree
Belsize Park,15745.367816091954,10052.048076923076,belsize park
Bermondsey,20813.164750957854,17255.451923076922,bermondsey
Bethnal Green,28682.735632183907,26548.55339805825,bethnal green
Bethnal Green NR,4752.176923076923,2761.0096153846152,bethnal green nr
Blackfriars,35118.51724137931,18492.08653846154,blackfriars
Blackhorse Road,27493.32950191571,21829.615384615383,blackhorse road
Blackwall,2805.4214559386974,1539.5,blackwall
Bond Street,117526.54961832061,88058.09615384616,bond street
Borough,12606.501915708812,8856.682692307691,borough
Boston Manor,4269.6332046332045,2776.401960784314,boston manor
Bounds Green,12715.177165354331,9145.255102040815,bounds green
Bow Church,4348.1297709923665,3307.769230769231,bow church
Bow Road,12917.360153256705,10036.951923076924,bow road
Brent Cross,5559.846456692913,3828.536082474227,brent cross
Brentwood,8732.692307692309,4399.2307692307695,brentwood
Brixton,60657.31034482759,54855.807692307695,brixton
Brockley,9685.862068965518,7199.574257425743,brockley
Bromley-by-Bow,11693.0,8545.0,bromley by bow
Brondesbury,7280.896551724138,4854.6435643564355,brondesbury
Brondesbury Park,2993.1877394636017,1949.723404255319,brondesbury park
Bruce Grove,3790.0856031128405,2591.305263157895,bruce grove
Buckhurst Hill,5823.616858237548,3464.0679611650485,buckhurst hill
Burnham Bucks,1983.4,1190.3076923076924,burnham bucks
Burnt Oak,12188.482213438736,7924.144329896907,burnt oak
Bush Hill Park,3422.7884615384614,1885.0,bush hill park
Bushey,3072.8244274809163,1646.0288461538462,bushey
Caledonian Road,12136.724137931034,8981.08,caledonian road
Caledonian Road & Barnsbury,4317.800766283525,3062.1458333333335,caledonian road and barnsbury
Cambridge Heath,2680.704280155642,2319.1702127659573,cambridge heath
Camden Road,12413.896551724138,9439.194174757282,camden road
Camden Town,53604.727969348656,59732.692307692305,camden town
Canada Water,27718.66283524904,27322.240384615383,canada water
Canary Wharf,100313.4827586207,63096.192307692305,canary wharf
Canary Wharf DLR,20168.934865900384,12793.076923076924,canary wharf
Canary Wharf EL,50909.767441860466,32336.134020618556,canary wharf el
Canning Town,36504.23371647509,36110.88461538462,canning town
Cannon Street,14583.214559386974,5639.7307692307695,cannon street
Canonbury,7727.3524904214555,5964.2,canonbury
Canons Park,6911.107279693487,4862.969696969697,canons park
Carpenders Park,3531.5521235521237,1966.388349514563,carpenders park
Chadwell Heath,14176.796153846153,8368.84,chadwell heath
Chalfont & Latimer,3760.214559386973,1975.6538461538462,chalfont and latimer
Chalk Farm,13538.065134099617,13472.067307692309,chalk farm
Chancery Lane,27895.053639846745,7136.3725490196075,chancery lane
Charing Cross,47160.98084291188,44533.807692307695,charing cross
Chesham,3126.0919540229884,1863.8252427184466,chesham
Cheshunt,5642.704980842912,4029.5,cheshunt
Chigwell,964.9272030651341,456.72115384615387,chigwell
Chingford,5915.861538461539,3570.6634615384614,chingford
Chiswick Park,6947.942528735633,3763.9326923076924,chiswick park
Chorleywood,2596.8122605363983,1325.7475728155339,chorleywood
Clapham Common,22899.01915708812,21688.125,clapham common
Clapham High Street,4010.803088803089,2659.722891566265,clapham high street
Clapham Junction,54183.0153256705,42071.605769230766,clapham junction
Clapham North,14872.954022988506,13404.10576923077,clapham north
Clapham South,19250.452107279692,13683.75,clapham south
Clapton,5434.38431372549,3667.257731958763,clapton
Cockfosters,4594.746031746032,4597.239130434783,cockfosters
Colindale,18345.241379310344,13298.434782608696,colindale
Colliers Wood,16574.141762452105,12916.038461538461,colliers wood
Covent Garden,34884.37164750958,39860.85567010309,covent garden
Crossharbour,6348.2900763358775,4394.413461538462,crossharbour
Crouch Hill,2476.4,1955.7425742574258,crouch hill
Croxley,2852.655172413793,1318.8217821782177,croxley
Crystal Palace,7414.413793103448,5339.057692307692,crystal palace
Custom House DLR,7888.114503816794,5325.115384615385,custom house
Custom House EL,27267.14285714286,22398.432989690722,custom house el
Cutty Sark,14099.453846153847,14390.364583333334,cutty sark
Cyprus,3513.4444444444443,951.7954545454545,cyprus
